$WEATHER,DATA,:,Point,"Coupee,",LA,,
1984083,16.9,23.9,7.8,0,,,
1984084,17.4,25.6,15.6,7.6,,,
1984085,22.4,23.9,8.9,0,,,
1984086,6.8,21.7,10,0,,,
1984087,10,22.8,12.8,0.5,,,
1984088,16.9,25.6,17.8,0,,,
1984089,22.8,18.9,9.4,0,,,
1984090,19.7,18.3,5.6,0,,,
1984091,23.5,20.6,5.3,0,,,
1984092,22.1,22.2,8.3,0,,,
1984093,5.3,24.4,12.2,0,,,
1984094,12.2,21.7,16.7,18.5,,,
1984095,24.6,27.2,11.1,0,,,
1984096,24.6,24.4,8.3,0,,,
1984097,26.6,19.4,3.9,0,,,
1984098,18,24.4,8.3,0,,,
1984099,12.1,23.3,13.9,15.2,,,
1984100,26.7,26.7,10.6,10.2,,,
1984101,26.4,25.6,11.1,0,,,
1984102,22.8,26.1,14.4,1,,,
1984103,14.4,25.6,13.9,0,,,
1984104,22.7,28.9,14.4,0,,,
1984105,17.7,27.8,15.6,0,,,
1984106,11.8,25.6,10,0,,,
1984107,12.8,20.6,7.8,0,,,
1984108,24.5,20.6,7.8,0,,,
1984109,24.1,23.9,8.9,0,,,
1984110,15.7,30,13.3,0,,,
1984111,16.9,26.1,16.7,0,,,
1984112,10.7,30,20.6,0,,,
1984113,18.5,31.7,15.6,3.8,,,
1984114,24.5,23.9,9.4,0,,,
1984115,25.3,23.9,6.1,0,,,
1984116,27.3,29.4,9.4,0,,,
1984117,13.6,28.9,8.3,0,,,
1984118,17.2,28.9,12.2,0,,,
1984119,12.1,28.3,20.6,3.6,,,
1984120,11.2,30,22.2,0,,,
1984121,17.5,28.9,19.4,0.3,,,
1984122,11.9,25,16.7,0,,,
1984123,18.7,26.7,18.3,0,,,
1984124,22.6,28.9,20,0.5,,,
1984125,25.7,31.7,12.2,0,,,
1984126,22.3,29.4,0,0,,,
1984127,21.2,33.3,17.8,21.8,,,
1984128,19.1,32.8,15.6,0,,,
1984129,17.7,33.3,17.8,21.8,,,
1984130,27.4,22.8,7.8,0,,,
1984131,26.5,28.3,11.1,0,,,
1984132,24.6,28.3,12.8,0,,,
1984133,25.8,29.4,15,0,,,
1984134,25.9,30,17.2,0,,,
1984135,26.8,31.1,16.7,0,,,
1984136,18.6,33.3,17.8,0,,,
1984137,17.5,30.6,16.7,0,,,
1984138,19.6,29.4,17.8,0,,,
1984139,25.2,28.9,17.2,0,,,
1984140,18.6,29.4,18.9,0,,,
1984141,3.6,23.3,20,13.5,,,
1984142,22.2,21.7,20.6,27.7,,,
1984143,8.7,30.6,18.3,14.7,,,
1984144,17.4,28.3,18.9,0.3,,,
1984145,19.1,30.6,19.4,0,,,
1984146,23.2,30.6,19.4,0,,,
1984147,20.3,31.7,21.1,0,,,
1984148,24,30.6,21.1,0,,,
1984149,25.3,31.1,19.4,0,,,
1984150,26.7,32.8,17.8,0,,,
1984151,27.7,23.3,10.6,0,,,
1984152,28.9,23.9,9.4,0,,,
1984153,25.7,26.1,10.6,0,,,
1984154,24.8,26.7,13.9,0,,,
1984155,25.9,28.9,20,0.5,,,
1984156,22.2,31.7,12.2,0,,,
1984157,23.6,29.4,13.3,5.8,,,
1984158,9.1,31.7,22.2,0,,,
1984159,23.9,29.4,22.8,6.6,,,
1984160,25,32.8,21.7,0,,,
1984161,19.4,31.7,21.1,0,,,
1984162,22.2,31.1,18.3,0.5,,,
1984163,23.9,32.8,20.6,0,,,
1984164,25.4,31.7,18.9,2.5,,,
1984165,25.5,32.8,20,0,,,
1984166,24.8,32.8,20,0,,,
1984167,20.4,34.4,21.7,0,,,
1984168,15,33.9,21.1,19.1,,,
1984169,22.6,29.4,21.7,17.8,,,
1984170,18.7,31.7,21.7,0,,,
1984171,22.4,32.8,23.3,0,,,
1984172,25.3,32.8,21.7,0,,,
1984173,23.4,34.4,22.8,0,,,
1984174,24,35,23.9,0,,,
1984175,25.1,35,23.9,0,,,
1984176,18,35,24.4,0,,,
1984177,20.6,35,22.8,0,,,
1984178,25.5,35,21.7,0,,,
1984179,10.8,34.4,22.2,0,,,
1984180,9.1,30,21.7,16,,,
1984181,10.4,27.2,22.2,0.8,,,
1984182,6.4,30,20,10.2,,,
1984183,5.6,29.4,21.1,9.7,,,
1984184,25.6,29.4,20,2.5,,,
1984185,19.6,31.7,22.2,0,,,
1984186,26.8,32.2,21.7,0,,,
1984187,22.1,33.9,21.7,0,,,
1984188,25.6,33.3,22.8,0,,,
1984189,22.6,33.9,21.1,0,,,
1984190,22,34.4,22.2,0,,,
1984191,22.9,32.2,21.1,4.8,,,
1984192,26.4,32.2,21.7,0,,,
1984193,23.6,33.3,22.2,0,,,
1984194,19.5,33.9,22.2,0,,,
1984195,16.5,33.3,22.8,0,,,
1984196,19,30.6,22.2,9.9,,,
1984197,21.5,32.8,22.2,4.3,,,
1984198,11,33.3,23.3,0,,,
1984199,9,33.3,23.3,0,,,
1984200,12.1,31.7,22.8,0,,,
1984201,15.4,33.3,21.7,0,,,
1984202,22.2,33.3,21.1,0,,,
1984203,20.5,33.9,21.7,0,,,
1984204,22.9,34.4,21.7,0,,,
1984205,19.6,33.9,20,5.6,,,
1984206,22.8,30.6,20,7.9,,,
1984207,16.6,30.6,21.1,0,,,
1984208,25.6,31.1,20.6,0,,,
1984209,23.8,33.9,20.6,0,,,
1984210,15.7,34.4,21.7,0,,,
1984211,14.9,33.9,22.2,6.1,,,
1984212,21.8,31.7,20.6,0,,,
1984213,22.4,30,18.9,0,,,
1984214,20.9,32.2,21.1,0,,,
1984215,14.1,31.7,22.2,2.5,,,
1984216,18.6,29.4,22.8,0,,,
1984217,10,31.1,22.2,2.8,,,
1984218,10,31.7,21.7,0,,,
1984219,13.7,31.7,21.7,0,,,
1984220,16.8,30,21.1,0,,,
1984221,16.2,30.6,21.7,0,,,
1984222,18.6,31.7,20.6,6.1,,,
1984223,17.8,33.3,20,0,,,
1984224,15.2,33.3,22.2,3,,,
1984225,14.7,32.2,22.2,3,,,
1984226,15.3,31.1,21.7,0,,,
1984227,19.6,28.3,21.7,1,,,
1984228,21,30,21.1,0,,,
1984229,21.9,32.2,20,0,,,
1984230,20.7,33.3,22.8,0,,,
1984231,23,33.3,22.2,0,,,
1984232,22.2,33.9,21.1,0,,,
1984233,9.6,33.9,22.8,0,,,
1984234,21.3,28.9,21.7,1.3,,,
1984235,20.6,35,22.2,0,,,
1984236,13.1,33.9,22.2,1.8,,,
1984237,24.8,32.8,21.7,0,,,
1984238,22.5,32.2,18.9,0,,,
1984239,15.8,33.3,20,0,,,
1984240,18.2,32.8,22.2,0,,,
1984241,19.2,32.8,22.2,13,,,
1984242,14.7,32.2,23.3,1.3,,,
1984243,20.4,32.8,22.2,1.3,,,
1984244,24.1,33.3,20.6,15.7,,,
1984245,15.9,32.2,21.1,0,,,
1984246,19.2,33.3,19.4,0,,,
1984247,18.5,32.8,20.6,0,,,
1984248,10.4,32.8,20.6,33,,,
1984249,24.2,26.1,16.7,0,,,
1984250,24.2,28.9,16.7,0,,,
1984251,22.8,29.4,16.7,0,,,
1984252,20.4,31.1,17.8,0,,,
1984253,16.7,32.2,20,0,,,
1984254,20.6,31.1,21.7,0,,,
1984255,20.5,33.3,19.4,0,,,
1984256,18.1,32.2,19.4,0,,,
1984257,19.9,34.4,20,17.8,,,
1984258,16.7,33.3,21.1,0,,,
1984259,15.2,33.9,20.6,0,,,
1984260,22,33.3,16.7,0,,,
1984261,21.7,27.8,16.7,0,,,
1984262,17.8,29.4,17.8,0,,,
1984263,15.2,28.9,17.2,0,,,
1984264,18.8,28.3,18.9,0,,,
1984265,5.2,30.6,19.4,0,,,
1984266,3.1,25.6,21.1,6.6,,,
1984267,12.1,26.7,18.9,37.3,,,
1984268,18.8,28.9,22.2,10.2,,,
1984269,19,31.1,20,0,,,
1984270,16.9,31.7,19.4,0,,,
1984271,19.5,28.3,14.4,0,,,
1984272,20.1,28.3,13.9,0,,,
1984273,16.3,26.1,12.8,0,,,
1984274,18.2,23.9,10.6,0,,,
1984275,20.1,21.7,6.1,0,,,
1984276,19.9,22.2,7.2,0,,,
1984277,19.1,23.9,6.1,0,,,
1984278,16.6,25,6.7,0,,,
1984279,13.2,26.1,10,0,,,
1984280,15.1,29.4,17.8,0.8,,,
1984281,6.5,31.1,19.4,0,,,
1984282,8.8,27.2,20,0,,,
1984283,8.8,28.9,19.4,85.6,,,
1984284,10.7,26.7,19.4,4.6,,,
1984285,15,26.1,18.3,3.8,,,
1984286,16.9,28.9,17.8,0,,,
1984287,13.5,28.9,17.2,0,,,
1984288,2,27.8,17.8,1.8,,,
1984289,15.3,22.8,18.9,69.1,,,
1984290,12.3,31.7,20,0,,,
1984291,4.7,32.2,20,52.1,,,
1984292,13,25.6,20,3,,,
1984293,7.6,30,21.1,0,,,
1984294,11.9,26.1,20.6,0,,,
1984295,8.6,29.4,22.8,22.9,,,
1984296,6.2,27.2,19.4,119.6,,,
1984297,7.6,25.6,18.9,108.2,,,
1984298,13.5,26.1,19.4,18.5,,,
1984299,13.9,28.3,19.4,0,,,
1984300,14.4,28.3,18.3,0,,,
1984301,14.7,28.3,17.2,0,,,
1984302,16.5,30.6,17.2,0,,,
1984303,15.3,29.4,17.8,0,,,
1984304,12.8,30,18.9,0,,,
1984305,12.8,31.1,19.4,0,,,
1984306,12,30,20.6,0,,,
1984307,4.4,30,17.8,7.1,,,
1984308,12.5,21.1,10,0,,,
1984309,8.9,22.2,10.6,0,,,
1984310,16.1,22.2,13.9,0,,,
1984311,16.3,23.3,5.6,0,,,
1984312,15.1,22.2,7.2,0,,,
1984313,9.4,21.7,10,0,,,
1984314,12,23.9,15,0,,,
1984315,10.7,27.2,17.2,0,,,
1984316,14.7,25,3.3,0,,,
1984317,16.5,16.1,3.3,0,,,
1984318,15.7,17.2,1.7,0,,,
1984319,15.6,18.9,2.8,0,,,
1984320,10.8,22.8,4.4,0,,,
1984321,3.4,26.7,14.4,12.2,,,
1984322,8.9,16.1,10,0,,,
1984323,4.4,20.6,11.7,0,,,
1984324,3.5,27.2,10.6,9.7,,,
1984325,5.7,12.8,7.2,0,,,
1984326,14.4,13.9,2.2,0,,,
1984327,14.3,12.2,0,0,,,
1984328,11.7,14.4,-1.1,0,,,
1984329,11,16.1,-1.7,0,,,
1984330,10.3,18.3,7.2,0,,,
1984331,6,23.3,11.1,0,,,
1984332,2.6,24.4,13.3,7.6,,,
1984333,14.1,14.4,0.6,0,,,
1984334,12.3,14.4,-1.1,0,,,
1984335,12.5,20.6,2.2,38.4,,,
1984336,12.5,22.8,6.1,0,,,
1984337,3,20,7.2,0,,,
1984338,13.5,18.9,8.3,7.6,,,
1984339,2.1,17.8,3.3,26.4,,,
1984340,2.7,6.7,3.3,37.8,,,
1984341,13.1,7.8,3.3,0.5,,,
1984342,13.6,10,-4.4,0,,,
1984343,12.6,11.1,-2.8,0,,,
1984344,8.4,18.9,0,0,,,
1984345,11.9,23.3,10,0,,,
1984346,7.1,25.6,7.8,0,,,
1984347,7.5,21.7,9.4,0,,,
1984348,4.2,25,15,0,,,
1984349,9.8,24.4,16.1,0,,,
1984350,9.9,27.2,15,0,,,
1984351,8.8,25,16.1,0,,,
1984352,9.7,26.1,16.7,0,,,
1984353,7.2,22.8,11.7,0,,,
1984354,7,23.3,13.3,0,,,
1984355,6.8,22.2,15.6,0,,,
1984356,6.5,24.4,15.6,0,,,
1984357,11.3,25.6,16.1,1.5,,,
1984358,5.1,23.9,9.4,0,,,
1984359,8.2,18.9,10.6,0,,,
1984360,6.2,26.7,12.8,0,,,
1984361,9.6,17.8,8.3,0,,,
1984362,6.6,22.2,10,0,,,
1984363,9,25.6,17.8,0.5,,,
1984364,8.3,26.1,16.7,0,,,
1984365,9.8,29.4,16.1,0,,,
1984366,6.9,26.1,17.2,0,,,
1985001,10.8,26.1,13.3,68.6,,,
1985002,2.5,17.2,3.9,0.8,,,
1985003,2.3,6.7,1.1,6.4,,,
1985004,13.8,1.7,-2.2,0,,,
1985005,13.8,7.2,-4.4,0,,,
1985006,11.2,12.2,-0.6,0,,,
1985007,15,15,0.6,0,,,
1985008,15.5,18.3,2.2,0,,,
1985009,13,17.2,1.7,0,,,
1985010,12.3,16.7,2.8,1.8,,,
1985011,8,22.2,6.1,0,,,
1985012,7.7,10,-1.1,0,,,
1985013,4.5,3.9,-0.6,0,,,
1985014,7.8,3.3,0.6,1.5,,,
1985015,14.9,11.7,-2.2,0,,,
1985016,3.4,12.8,1.7,0,,,
1985017,9.6,15,6.7,56.4,,,
1985018,16.2,12.2,-1.1,0,,,
1985019,15.8,17.8,-1.1,0,,,
1985020,12.1,18.3,-5,0,,,
1985021,15.4,-3.9,-11.7,0,,,
1985022,15.7,0,-11.1,0,,,
1985023,6.6,7.8,-3.9,0,,,
1985024,6.6,8.9,0.6,3.8,,,
1985025,15.7,10.6,1.7,1,,,
1985026,16.9,18.9,-2.2,0,,,
1985027,3.1,10,-1.1,0,,,
1985028,3.8,13.9,1.1,34.5,,,
1985029,13.7,5.6,0.6,0,,,
1985030,6.1,13.3,2.2,2,,,
1985031,2.8,22.8,12.2,0,,,
1985032,3.5,21.1,-1.1,29.2,,,
1985033,7.3,1.1,-6.1,0,,,
1985034,6.3,-1.7,-6.7,0,,,
1985035,5.7,0.6,-5.6,0,,,
1985036,3.3,13.3,-0.6,21.6,,,
1985037,13.5,6.7,1.7,13.7,,,
1985038,11,2.2,1.7,0,,,
1985039,17.4,8.9,-1.1,0,,,
1985040,17.1,13.3,0.6,0,,,
1985041,9.8,17.8,6.7,0,,,
1985042,10.6,20,4.4,27.9,,,
1985043,18.4,5.6,0,0,,,
1985044,17.6,11.7,-2.8,0,,,
1985045,10.5,17.2,0,0,,,
1985046,16,12.8,2.8,0,,,
1985047,18.5,12.8,-1.7,0,,,
1985048,15.6,15.6,-0.6,0,,,
1985049,12.4,23.3,7.8,0,,,
1985050,8.4,22.2,10.6,0,,,
1985051,16.5,19.4,6.1,0,,,
1985052,13.4,22.2,10,0,,,
1985053,6.5,25,16.1,0,,,
1985054,5,23.3,16.7,12.7,,,
1985055,4,26.7,13.9,14.5,,,
1985056,5.1,17.2,12.2,32,,,
1985057,8.7,14.4,10.6,17.3,,,
1985058,8.6,19.4,11.7,5.6,,,
1985059,11.7,18.9,9.4,15.2,,,
1985060,10.6,18.9,9.4,15.2,,,
1985061,16.2,23.3,12.2,0,,,
1985062,14.3,23.9,13.3,0,,,
1985063,7.2,25,17.2,0,,,
1985064,13.4,25.6,12.2,4.3,,,
1985065,20.4,24.4,8.3,0,,,
1985066,20.3,24.4,8.3,0,,,
1985067,14.6,25,15.6,0,,,
1985068,16.9,27.8,15.6,0,,,
1985069,18.7,28.3,13.3,0,,,
1985070,14.6,27.8,14.4,0,,,
1985071,11.9,26.1,16.7,0,,,
1985072,18.8,26.1,15,0,,,
1985073,11.6,28.3,12.8,0,,,
1985074,15.9,25.6,11.1,0,,,
1985075,11.2,22.2,10.6,3.6,,,
1985076,20.9,20,10.6,1.3,,,
1985077,22.2,22.2,7.8,0,,,
1985078,22.6,21.1,5,0,,,
1985079,4.2,22.2,5,0.5,,,
1985080,18.9,21.7,4.4,47,,,
1985081,18.2,21.7,11.1,0,,,
1985082,23.4,20,7.8,0,,,
1985083,23.4,25,9.4,0,,,
1985084,24,25,10,0,,,
1985085,20.6,27.2,12.2,0,,,
1985086,11.1,26.1,15,0,,,
1985087,21.3,22.8,17.8,17.8,,,
1985088,18.8,22.2,5,0.5,,,
1985089,13.4,26.7,13.3,0,,,
1985090,20.3,26.1,10.6,25.7,,,
1985091,25.3,18.9,5,0,,,
1985092,25.4,22.2,8.9,0,,,
1985093,25.1,21.1,10.6,0,,,
1985094,23.1,26.7,13.3,0,,,
1985095,12.3,25.6,17.2,0,,,
1985096,25.7,26.7,10,7.6,,,
1985097,25.1,24.4,12.2,0,,,
1985098,22.2,26.7,11.7,0,,,
1985099,25,22.8,6.7,0,,,
1985100,24.9,21.7,9.4,0,,,
1985101,14.2,22.8,13.3,0,,,
1985102,13.4,23.9,15,2,,,
1985103,21.2,23.9,13.9,2.5,,,
1985104,17.1,26.1,13.3,0,,,
1985105,22.8,24.4,11.1,6.6,,,
1985106,24,28.9,13.3,1.3,,,
1985107,25.1,28.3,13.3,0,,,
1985108,24.1,27.8,14.4,0,,,
1985109,23.3,26.7,15.6,0,,,
1985110,22.6,28.3,14.4,0,,,
1985111,19.5,28.9,16.7,0,,,
1985112,13.3,29.4,18.3,0,,,
1985113,19.5,26.7,19.4,0,,,
1985114,19,30.6,17.2,8.1,,,
1985115,18.2,28.9,17.2,0,,,
1985116,17.9,28.3,18.9,2.5,,,
1985117,19.3,30,20,12.2,,,
1985118,16.6,30.6,20,0,,,
1985119,23,29.4,18.3,7.6,,,
1985120,25.8,30.6,19.4,0,,,
1985121,15.8,31.7,20,0,,,
1985122,16.5,29.4,18.9,22.1,,,
1985123,9.3,26.1,16.1,0,,,
1985124,27.4,26.1,13.9,0,,,
1985125,19.5,27.8,16.7,0,,,
1985126,23.2,28.3,20.6,0,,,
1985127,24.8,30.6,16.1,0,,,
1985128,12.6,30.6,21.1,0,,,
1985129,24,30.6,16.7,9.1,,,
1985130,25.8,27.8,16.1,0,,,
1985131,17.1,30,16.7,0,,,
1985132,23.1,31.1,21.1,0,,,
1985133,11.9,32.2,21.1,0,,,
1985134,11.8,28.9,21.1,0,,,
1985135,22.6,31.7,18.3,52.3,,,
1985136,27.9,27.8,13.3,0,,,
1985137,25.8,31.1,18.3,0,,,
1985138,23.6,28.3,16.1,0,,,
1985139,27.6,26.1,15,0,,,
1985140,27,28.9,16.7,0,,,
1985141,11.8,31.7,18.3,0,,,
1985142,25.4,31.7,18.3,29.2,,,
1985143,10.8,30.6,20,0,,,
1985144,28.9,27.2,17.8,15.2,,,
1985145,28.6,30,16.1,0,,,
1985146,26.2,31.1,17.2,0,,,
1985147,25.9,31.1,16.7,0,,,
1985148,27.8,31.1,17.8,0,,,
1985149,23.6,31.1,18.3,0,,,
1985150,23.3,31.7,20,0,,,
1985151,27.9,32.2,22.8,0,,,
1985152,26.9,33.9,23.3,0,,,
1985153,28.2,35,20.6,0,,,
1985154,25.8,34.4,20,0,,,
1985155,29,35,20.6,0,,,
1985156,26.4,35,19.4,0,,,
1985157,27.5,35,21.7,0,,,
1985158,24.2,35.6,22.8,0,,,
1985159,23.9,34.4,22.2,19.6,,,
1985160,19.3,34.4,23.3,0,,,
1985161,17.7,34.4,22.2,0,,,
1985162,15.3,32.2,23.3,0.5,,,
1985163,19.1,29.4,20.6,13.2,,,
1985164,21.9,30.6,18.3,0,,,
1985165,23.8,28.3,16.7,0,,,
1985166,26.8,31.1,21.7,0,,,
1985167,26,33.9,22.8,0,,,
1985168,16.2,34.4,23.9,0,,,
1985169,9,34.4,22.2,0,,,
1985170,10.8,30,21.1,35.1,,,
1985171,20.5,26.7,20,1.3,,,
1985172,19.6,29.4,21.7,0,,,
1985173,19.7,30.6,23.3,0,,,
1985174,24.7,33.3,21.7,0,,,
1985175,25.4,33.9,22.2,0,,,
1985176,24,32.8,21.7,0,,,
1985177,25.3,33.3,20.6,1.3,,,
1985178,24.3,33.3,21.7,0,,,
1985179,23,33.9,21.1,24.9,,,
1985180,20.1,30.6,20,0,,,
1985181,25.5,28.9,16.1,0,,,
1985182,27.8,31.7,19.4,0,,,
1985183,19.3,31.7,20.6,0,,,
1985184,18.4,32.8,20,0,,,
1985185,11.1,31.7,21.1,0.8,,,
1985186,9.4,29.4,20.6,26.9,,,
1985187,22.2,29.4,20.6,35.6,,,
1985188,15.1,30,21.7,0,,,
1985189,23.9,30,21.1,0,,,
1985190,24.2,30,22.8,0,,,
1985191,24,31.7,23.9,0,,,
1985192,15,34.4,22.8,0,,,
1985193,21.9,32.2,21.7,1,,,
1985194,21.8,33.3,21.7,0,,,
1985195,21.6,34.4,21.7,0,,,
1985196,22.9,33.9,22.2,0,,,
1985197,20.7,34.4,22.2,0,,,
1985198,19.7,33.9,21.7,20.1,,,
1985199,18.7,31.7,21.7,27.9,,,
1985200,13.9,33.9,23.3,0.5,,,
1985201,17.9,28.9,22.8,8.4,,,
1985202,20.6,30,21.7,9.4,,,
1985203,23.6,32.2,22.2,0,,,
1985204,20.8,32.8,23.3,0,,,
1985205,22.5,32.2,23.3,23.6,,,
1985206,23.9,33.3,22.8,0,,,
1985207,24.4,33.9,22.2,0,,,
1985208,17.5,33.3,24.4,0,,,
1985209,21.6,32.2,23.3,3,,,
1985210,23.9,33.3,21.1,0,,,
1985211,20.8,33.3,22.8,0,,,
1985212,23.7,33.3,22.2,0,,,
1985213,24.7,33.9,24.4,0,,,
1985214,20.6,35,24.4,0,,,
1985215,21.8,35.6,23.9,0,,,
1985216,21.8,34.4,23.3,0,,,
1985217,23.3,33.9,23.3,0.5,,,
1985218,20.3,35,22.8,47.2,,,
1985219,13.7,34.4,22.8,0,,,
1985220,25.2,31.1,20.6,0.8,,,
1985221,23,32.8,22.2,0,,,
1985222,25,34.4,23.3,0,,,
1985223,18.2,35,22.8,0,,,
1985224,21.8,34.4,22.8,15.5,,,
1985225,21.6,33.3,22.2,20.3,,,
1985226,9.9,33.9,23.3,0.5,,,
1985227,4.5,30.6,22.2,18.5,,,
1985228,20.5,28.9,21.7,41.7,,,
1985229,22,32.8,23.3,0,,,
1985230,23,33.9,22.2,0,,,
1985231,22.9,34.4,22.2,0,,,
1985232,9.7,34.4,21.7,0,,,
1985233,21.1,30,21.1,34.5,,,
1985234,22,33.3,21.7,0,,,
1985235,21.3,33.3,22.2,0,,,
1985236,20.9,33.9,22.8,0,,,
1985237,18,33.9,21.1,10.7,,,
1985238,22.9,31.1,20,15.2,,,
1985239,19.7,32.2,21.7,3,,,
1985240,16.8,30,22.2,0,,,
1985241,16.9,31.7,22.8,0,,,
1985242,23.3,31.7,22.8,0,,,
1985243,24.2,34.4,22.2,0,,,
1985244,24.1,33.3,22.2,0,,,
1985245,10.2,33.3,22.2,0,,,
1985246,13.7,26.1,21.7,33.8,,,
1985247,15.7,29.4,23.9,0,,,
1985248,12.6,32.2,23.9,0,,,
1985249,15.8,32.2,20.6,1,,,
1985250,16.5,32.8,21.7,2.8,,,
1985251,18.6,32.2,21.7,1.8,,,
1985252,17.8,32.2,21.7,1,,,
1985253,14,31.7,21.1,13,,,
1985254,21.3,32.2,21.7,0,,,
1985255,21.1,32.8,21.1,0,,,
1985256,22.3,33.3,21.7,0,,,
1985257,11.3,32.2,20,0,,,
1985258,22.3,31.1,17.2,0,,,
1985259,20.3,27.2,16.1,0,,,
1985260,20.2,29.4,16.1,0,,,
1985261,19.9,32.2,17.8,0,,,
1985262,20.4,30.6,18.3,0,,,
1985263,19.7,30.6,17.2,0,,,
1985264,21.9,31.1,18.3,0,,,
1985265,14.2,31.7,19.4,0,,,
1985266,18,30,22.2,10.2,,,
1985267,13.6,31.1,19.4,0,,,
1985268,16.2,23.9,18.9,23.6,,,
1985269,20.5,30.6,18.3,3.3,,,
1985270,21.4,26.1,12.2,0,,,
1985271,20.2,25,12.2,0,,,
1985272,17.9,26.7,13.9,0,,,
1985273,5.1,30.6,18.3,61.7,,,
1985274,6.8,22.2,13.3,12.7,,,
1985275,19.6,21.7,11.1,0,,,
1985276,20.3,23.9,13.3,0,,,
1985277,19.9,26.7,11.7,0,,,
1985278,19.6,29.4,13.3,0,,,
1985279,20,29.4,6.1,0,,,
1985280,19.8,29.4,6.7,0,,,
1985281,18.6,24.4,8.9,0,,,
1985282,16.2,27.2,18.3,0,,,
1985283,16.9,28.3,15.6,0,,,
1985284,16.5,29.4,16.7,0,,,
1985285,11.4,29.4,17.8,0,,,
1985286,9.6,29.4,18.3,30.7,,,
1985287,12,29.4,18.9,1,,,
1985288,7.6,29.4,20.6,3.6,,,
1985289,8.4,26.7,20.6,13.2,,,
1985290,13.3,27.2,19.4,0,,,
1985291,12.3,30,21.1,0,,,
1985292,13.2,31.1,23.3,1,,,
1985293,9.9,30,20,1.8,,,
1985294,12.3,28.3,20,0,,,
1985295,8.5,28.3,20,0,,,
